1,18,Guy,Gilbert,Production Technician - WC60,2000.7.31,1976.5.15,320-555-0195,M,Production
2,7,Kevin,Brown,Marketing Assistant,2001.2.26,1981.6.3,150-555-0189,M,Marketing
3,14,Roberto,Tamburello,Engineering Manager,2001.12.12,1968.12.13,212-555-0187,M,Engineering
4,3,Rob,Walters,Senior Tool Designer,2002.1.5,1969.1.23,612-555-0100,M,Tool Design
6,267,Thierry,D'Hers,Tool Designer,2002.1.11,1953.8.29,168-555-0183,M,Tool Design
7,112,David,Bradley,Marketing Manager,2002.1.20,1969.4.19,913-555-0172,M,Marketing
9,23,JoLynn,Dobney,Production Supervisor - WC60,2002.1.26,1950.2.16,903-555-0145,F,Production
10,189,Ruth,Ellerbrock,Production Technician - WC10,2002.2.6,1950.7.6,145-555-0130,F,Production
11,3,Gail,Erickson,Design Engineer,2002.2.6,1946.10.29,849-555-0139,F,Engineering
12,189,Barry,Johnson,Production Technician - WC10,2002.2.7,1950.4.27,206-555-0180,M,Production
13,3,Jossef,Goldberg,Design Engineer,2002.2.24,1953.4.11,122-555-0189,M,Engineering
14,112,Terri,Duffy,Vice President of Engineering,2002.3.3,1965.9.1,819-555-0175,F,Engineering
15,189,Sidney,Higa,Production Technician - WC10,2002.3.5,1950.10.1,424-555-0189,M,Production
16,23,Taylor,Maxwell,Production Supervisor - WC50,2002.3.11,1950.5.3,508-555-0165,M,Production
17,189,Jeffrey,Ford,Production Technician - WC10,2002.3.23,1950.8.12,984-555-0185,M,Production
18,23,Jo,Brown,Production Supervisor - WC60,2002.3.30,1950.11.9,632-555-0129,F,Production
19,189,Doris,Hartwig,Production Technician - WC10,2002.4.11,1950.5.6,328-555-0150,F,Production
20,23,John,Campbell,Production Supervisor - WC60,2002.4.18,1950.9.8,435-555-0113,M,Production
21,189,Diane,Glimp,Production Technician - WC10,2002.4.29,1950.4.30,202-555-0151,F,Production
22,177,Steven,Selikoff,Production Technician - WC30,2003.1.2,1971.6.15,925-555-0114,M,Production
23,112,Peter,Krebs,Production Control Manager,2003.1.2,1976.12.4,913-555-0196,M,Production Control
24,201,Stuart,Munson,Production Technician - WC45,2003.1.3,1956.10.14,413-555-0136,M,Production
25,201,Greg,Alderson,Production Technician - WC45,2003.1.3,1964.11.18,332-555-0150,M,Production
26,188,David,Johnson,Production Technician - WC30,2003.1.3,1973.12.3,166-555-0162,M,Production
27,23,Zheng,Mu,Production Supervisor - WC10,2003.1.4,1977.11.26,113-555-0173,M,Production
28,111,Ivo,Salmre,Production Technician - WC20,2003.1.5,1976.2.4,115-555-0179,M,Production
29,89,Paul,Komosinski,Production Technician - WC40,2003.1.5,1974.12.15,147-555-0160,M,Production
30,154,Ashvini,Sharma,Network Administrator,2003.1.5,1971.4.28,656-555-0119,M,Information Services
31,16,Kendall,Keil,Production Technician - WC50,2003.1.6,1980.6.30,138-555-0128,M,Production
32,143,Paula,Barreto de Mattos,Human Resources Manager,2003.1.7,1970.3.14,523-555-0175,F,Human Resources
33,214,Alejandro,McGuel,Production Technician - WC40,2003.1.7,1983.1.6,668-555-0130,M,Production
34,188,Garrett,Young,Production Technician - WC30,2003.1.8,1978.9.26,609-555-0179,M,Production
35,138,Jian Shuo,Wang,Production Technician - WC30,2003.1.8,1977.8.27,952-555-0178,M,Production
36,87,Susan,Eaton,Stocker,2003.1.8,1972.3.20,943-555-0196,F,Shipping and Receiving
37,87,Vamsi,Kuppa,Shipping and Receiving Clerk,2003.1.8,1971.4.19,937-555-0137,M,Shipping and Receiving
38,40,Alice,Ciccu,Production Technician - WC50,2003.1.8,1972.2.27,333-555-0173,F,Production
39,9,Simon,Rapier,Production Technician - WC60,2003.1.9,1984.6.17,963-555-0134,M,Production
40,23,Jinghao,Liu,Production Supervisor - WC50,2003.1.9,1983.3.9,794-555-0159,M,Production
41,186,Michael,Hines,Production Technician - WC20,2003.1.10,1978.12.19,218-555-0126,M,Production
42,163,Yvonne,McKay,Production Technician - WC45,2003.1.10,1983.5.17,286-555-0189,F,Production
43,204,Peng,Wu,Quality Assurance Supervisor,2003.1.10,1970.4.19,164-555-0164,M,Quality Assurance
44,112,Jean,Trenary,Information Services Manager,2003.1.12,1970.1.13,685-555-0120,F,Information Services
45,76,Russell,Hunter,Production Technician - WC50,2003.1.13,1966.12.27,786-555-0144,M,Production
46,23,A. Scott,Wright,Master Scheduler,2003.1.13,1962.10.19,992-555-0194,M,Production Control
47,214,Fred,Northup,Production Technician - WC40,2003.1.13,1983.7.27,818-555-0192,M,Production
48,7,Sariya,Harnpadoungsataya,Marketing Specialist,2003.1.13,1981.6.21,399-555-0176,M,Marketing
49,32,Willis,Johnson,Recruiter,2003.1.14,1972.8.18,778-555-0141,M,Human Resources
50,40,Jun,Cao,Production Technician - WC50,2003.1.15,1973.8.6,299-555-0113,M,Production
51,222,Christian,Kleinerman,Maintenance Supervisor,2003.1.15,1970.2.18,846-555-0157,M,Facilities and Maintenance
52,188,Susan,Metters,Production Technician - WC30,2003.1.15,1977.5.3,639-555-0164,F,Production
53,23,Reuben,D'sa,Production Supervisor - WC40,2003.1.16,1981.9.27,191-555-0112,M,Production
54,126,Kirk,Koenigsbauer,Production Technician - WC45,2003.1.16,1979.3.10,669-555-0150,M,Production
55,20,David,Ortiz,Production Technician - WC60,2003.1.16,1979.1.30,712-555-0119,M,Production
56,92,Tengiz,Kharatishvili,Control Specialist,2003.1.17,1984.5.29,910-555-0116,M,Document Control
57,147,Hanying,Feng,Production Technician - WC20,2003.1.17,1968.11.16,319-555-0139,M,Production
58,214,Kevin,Liu,Production Technician - WC40,2003.1.18,1980.1.26,714-555-0138,M,Production
59,18,Annik,Stahl,Production Technician - WC60,2003.1.18,1971.1.27,499-555-0125,M,Production
60,40,Suroor,Fatima,Production Technician - WC50,2003.1.18,1972.3.28,932-555-0161,M,Production
61,142,Deborah,Poe,Accounts Receivable Specialist,2003.1.19,1970.4.7,602-555-0194,F,Finance
62,76,Jim,Scardelis,Production Technician - WC50,2003.1.20,1980.10.9,679-555-0113,M,Production
63,177,Carole,Poland,Production Technician - WC30,2003.1.20,1977.11.19,688-555-0192,F,Production
64,188,George,Li,Production Technician - WC30,2003.1.22,1971.5.18,518-555-0199,M,Production
65,89,Gary,Yukish,Production Technician - WC40,2003.1.23,1982.6.17,901-555-0125,M,Production
66,23,Cristian,Petculescu,Production Supervisor - WC10,2003.1.23,1978.5.13,434-555-0133,M,Production
67,147,Raymond,Sam,Production Technician - WC20,2003.1.24,1961.4.2,226-555-0197,M,Production
68,44,Janaina,Bueno,Application Specialist,2003.1.24,1979.3.3,623-555-0155,F,Information Services
69,16,Bob,Hohman,Production Technician - WC50,2003.1.25,1973.9.16,611-555-0116,M,Production
70,214,Shammi,Mohamed,Production Technician - WC40,2003.1.25,1974.11.5,793-555-0179,M,Production
71,40,Linda,Moschell,Production Technician - WC50,2003.1.26,1981.8.17,612-555-0171,F,Production
72,32,Mindy,Martin,Benefits Specialist,2003.1.26,1978.12.22,522-555-0147,F,Human Resources
73,143,Wendy,Kahn,Finance Manager,2003.1.26,1978.11.12,248-555-0134,F,Finance
74,87,Kim,Ralls,Stocker,2003.1.27,1978.6.1,309-555-0129,F,Shipping and Receiving
75,138,Sandra,Reátegui Alayo,Production Technician - WC30,2003.1.27,1969.12.6,896-555-0168,F,Production
76,23,Kok-Ho,Loh,Production Supervisor - WC50,2003.1.28,1974.5.30,999-555-0155,M,Production
77,163,Douglas,Hite,Production Technician - WC45,2003.1.28,1979.12.26,808-555-0172,M,Production
78,9,James,Kramer,Production Technician - WC60,2003.1.28,1978.8.26,119-555-0117,M,Production
79,43,Sean,Alexander,Quality Assurance Technician,2003.1.29,1970.4.7,420-555-0173,M,Quality Assurance
80,186,Nitin,Mirchandani,Production Technician - WC20,2003.1.29,1981.1.1,143-555-0173,M,Production
81,162,Diane,Margheim,Research and Development Engineer,2003.1.30,1980.7.6,815-555-0138,F,Research and Development
82,18,Rebecca,Laszlo,Production Technician - WC60,2003.1.30,1971.8.11,314-555-0113,F,Production
83,214,Rajesh,Patel,Production Technician - WC40,2003.2.1,1971.11.5,373-555-0137,M,Production
84,32,Vidur,Luthra,Recruiter,2003.2.2,1978.9.2,153-555-0186,M,Human Resources
85,40,John,Evans,Production Technician - WC50,2003.2.2,1972.7.1,172-555-0130,M,Production
86,9,Nancy,Anderson,Production Technician - WC60,2003.2.3,1982.12.21,970-555-0118,F,Production
87,23,Pilar,Ackerman,Shipping and Receiving Supervisor,2003.2.3,1966.10.11,577-555-0185,M,Shipping and Receiving
88,188,David,Yalovsky,Production Technician - WC30,2003.2.3,1975.9.4,373-555-0142,M,Production
89,23,David,Hamilton,Production Supervisor - WC40,2003.2.4,1977.8.2,986-555-0177,M,Production
90,126,Laura,Steele,Production Technician - WC45,2003.2.4,1975.1.26,777-555-0141,F,Production
91,18,Margie,Shoop,Production Technician - WC60,2003.2.5,1980.6.20,818-555-0128,F,Production
92,204,Zainal,Arifin,Document Control Manager,2003.2.5,1970.3.2,204-555-0115,M,Document Control
93,214,Lorraine,Nay,Production Technician - WC40,2003.2.5,1982.12.28,845-555-0184,F,Production
94,147,Fadi,Fakhouri,Production Technician - WC20,2003.2.5,1983.3.19,935-555-0116,M,Production
95,53,Ryan,Cornelsen,Production Technician - WC40,2003.2.6,1966.7.15,208-555-0114,M,Production
96,142,Candy,Spoon,Accounts Receivable Specialist,2003.2.7,1970.3.26,920-555-0177,F,Finance
97,76,Nuan,Yu,Production Technician - WC50,2003.2.7,1973.4.29,913-555-0184,M,Production
98,46,William,Vong,Scheduling Assistant,2003.2.8,1975.12.8,148-555-0145,M,Production Control
100,177,Bjorn,Rettig,Production Technician - WC30,2003.2.8,1983.12.8,199-555-0117,M,Production
101,201,Scott,Gode,Production Technician - WC45,2003.2.9,1981.3.13,391-555-0138,M,Production
102,89,Michael,Rothkugel,Production Technician - WC40,2003.2.11,1985.2.4,454-555-0119,M,Production
103,147,Lane,Sacksteder,Production Technician - WC20,2003.2.12,1968.10.24,200-555-0117,M,Production
104,16,Pete,Male,Production Technician - WC50,2003.2.12,1971.3.7,768-555-0123,M,Production
105,44,Dan,Bacon,Application Specialist,2003.2.12,1975.7.28,166-555-0159,M,Information Services
